PatientID,Name,SSN,PhoneNumber,Email,InsuranceID,Gender,DateOfBirth,Age,Diagnosis,TreatmentPlan,Medications,LabResults,Allergies,LastVisitDate,DoctorAssigned,Notes,DataDeletionRequested
1,Rebecca Ryan,378-82-3775,408-756-0461x90713,teresa88@example.com,kuj-7090279,Female,2010-07-21,33,Hypertension,Subject happy husband of.,"Levothyroxine, Atorvastatin","{""WBC"": 10102.6, ""Hgb"": 12.4, ""Platelets"": 157.7, ""Glucose"": 107.8}",Latex,2025-07-01,David Lewis,And education voice positive language business.,True
2,David Johnson,547-47-9243,(636)303-4392x9735,jasonmunoz@example.org,ncT-6132612,Other,1993-04-01,80,Diabetes,Skill whom science particular become staff.,Levothyroxine,"{""WBC"": 5429.3, ""Hgb"": 12.9, ""Platelets"": 305.1, ""Glucose"": 119.6}",Penicillin,2025-07-06,William Solis,So I modern finally answer until job century.,True
3,David Boyd,184-36-7318,(964)999-1993x485,robert63@example.org,uzS-8916265,Other,1954-09-27,3,Asthma,Six common customer visit analysis agree recently career.,Atorvastatin,"{""WBC"": 6855.8, ""Hgb"": 16.5, ""Platelets"": 223.3, ""Glucose"": 128.5}",None,2025-09-07,Ana Mcmahon,Car many night throughout contain unit.,True
4,Cristian Pierce,184-20-6308,(488)715-9331,qmorales@example.org,RBW-9134588,Other,1930-03-11,26,Asthma,Space boy goal bill price resource win.,Lisinopril,"{""WBC"": 10411.6, ""Hgb"": 13.8, ""Platelets"": 332.6, ""Glucose"": 128.4}",Penicillin,2025-09-16,Kenneth Steele,Pm table member wear to your cause unit certainly stay according yes southern.,True
5,Kerry Simpson,825-75-5864,+1-824-811-7601x4661,rogersthomas@example.org,HvV-1479829,Other,1930-09-04,91,Arthritis,Me sea performance.,"Hydrochlorothiazide, Levothyroxine","{""WBC"": 6326.4, ""Hgb"": 17.0, ""Platelets"": 260.7, ""Glucose"": 126.0}",Pollen,2025-08-04,Ronald Johnson,Reflect exactly plant yard happen east month quite.,True
6,Melanie Jones,179-26-6426,(743)798-9538,wendymann@example.net,qDR-5212381,Other,1989-08-01,95,Depression,Money member number way soldier skill.,"Levothyroxine, Lisinopril","{""WBC"": 5610.7, ""Hgb"": 15.9, ""Platelets"": 155.6, ""Glucose"": 105.9}",Shellfish,2025-04-16,Jennifer Powers,She remember story however wonder tough one.,False
7,Grace Walters,745-17-3166,402-448-4474x1984,gharrison@example.com,MBJ-0156449,Male,1971-11-03,35,Arthritis,While available provide talk.,Atorvastatin,"{""WBC"": 8776.3, ""Hgb"": 13.4, ""Platelets"": 175.2, ""Glucose"": 118.8}",Penicillin,2025-08-10,Heidi Summers,Including case anything allow turn man ever but because prove partner whole political.,True
8,Pamela Hopkins,246-61-1846,001-783-383-8879,nguyendawn@example.org,tlL-7145348,Other,1995-03-29,6,Diabetes,Take memory center strategy often hospital young.,"Atorvastatin, Hydrochlorothiazide","{""WBC"": 10556.3, ""Hgb"": 14.5, ""Platelets"": 215.6, ""Glucose"": 137.6}",Peanuts,2025-05-06,Crystal Lopez,Lawyer site charge great thank how face.,False
9,Elizabeth Gomez,388-46-5877,+1-443-515-5499,matthew36@example.com,BSA-0779398,Male,1988-02-12,67,Depression,Style evidence society plan to political.,"Levothyroxine, Amlodipine","{""WBC"": 10206.7, ""Hgb"": 15.4, ""Platelets"": 290.4, ""Glucose"": 105.4}",Penicillin,2025-10-08,Jennifer Moran,Assume movie whole south place ago soldier individual child car thought arm inside.,False
10,Eric Castillo,415-93-7331,(673)577-8134,davidsonjohn@example.net,cEv-1255653,Male,1964-07-14,6,Diabetes,Common start huge develop kid.,"Lisinopril, Metformin, Albuterol","{""WBC"": 10848.9, ""Hgb"": 14.1, ""Platelets"": 360.8, ""Glucose"": 92.6}",Peanuts,2025-08-05,Michael Baldwin,Figure seven own everything exist data.,False
